1;GP1001;5316 970 6408;Core Assembly (CHRA);Ecomet 712, 912, 1112 & 1611 Lynx Bus, Stag bus;ASHOK LEYLAND;6
2;GP1002;5327 970 6447;Core Assembly (CHRA);Truck: 2516, 3516;ASHOK LEYLAND;8
3;GP1003;5327 970 6750;Core Assembly (CHRA);Truck & Bus:12 M bus 40.18 Truck. Truck & Bus: Viking SLF, 1616, 3116, 2516;ASHOK LEYLAND;12
4;GP1004;5327 970 6815;Core Assembly (CHRA);Truck & Bus: Stallion, 2516, 3516;ASHOK LEYLAND;12
5;GP1005;5327 970 6817;Core Assembly (CHRA);2516 tipper;ASHOK LEYLAND;12
6;GP1006;5316 970 6741;Core Assembly (CHRA);Truck & Bus;EICHER VE COMMERCIAL VEHICLES;14
7;GP1007;5435 970 0005;Core Assembly (CHRA);Palio - Multi Jet, Punto 90, Premier Rio;FIAT;9
8;GP1008;5435 970 0014;Core Assembly (CHRA);Linea, Punto 90 Ps;FIAT;2
9;GP1009;5435 970 0009;Core Assembly (CHRA);Fiesta, Fusion, Ikon, Figo;FORD;9
10;GP1010;5304 970 0030;Core Assembly (CHRA);Tempo Traveller;FORCE MOTORS LIMITED;10
11;GP1011;5303 970 0098;Core Assembly (CHRA);Tavera;GENERAL MOTORS;17
12;GP1012;3133 902 002;Core Assembly (CHRA);Beat Diesel;GENERAL MOTORS;21
13;GP1013;4550 902 014;Core Assembly (CHRA);Rhino;INTERNATIONAL CARS & MOTORS LTD.;19
14;GP1014;5324 970 6004;Core Assembly (CHRA);Industrial;KIRLOSKAR OIL ENGINES LTD;3
15;GP1015;5324 970 6005;Core Assembly (CHRA);Industrial;KIRLOSKAR OIL ENGINES LTD;3
16;GP1016;5326 970 6408;Core Assembly (CHRA);Industrial;KIRLOSKAR OIL ENGINES LTD;3
17;GP1017;4351 902 001;Core Assembly (CHRA);Scorpio Vlx, Lx, Sle. Xylo E9;MAHINDRA & MAHINDRA;19
18;GP1018;5303 970 0088;Core Assembly (CHRA);Scorpio CRDe, Bolero Strom, Thar;MAHINDRA & MAHINDRA;19
19;GP1019;5304 970 0027;Core Assembly (CHRA);Scorpio;MAHINDRA & MAHINDRA;18
20;GP1020;4551 902 001;Core Assembly (CHRA);Scorpio Gataway;MAHINDRA & MAHINDRA;22
21;GP1021;4550 902 006;Core Assembly (CHRA);Xylo E4, E6, E8;MAHINDRA & MAHINDRA;19
22;GP1022;4550 902 025;Core Assembly (CHRA);Xylo D2, D4, D6, D8, Genio pick up;MAHINDRA & MAHINDRA;19
23;GP1023;5303 970 0095;Core Assembly (CHRA);Bolero, Pick up, Savari, Maxx, Maxxi Truck;MAHINDRA & MAHINDRA;19
24;GP1024;4346 902 017;Core Assembly (CHRA);Bolero;MAHINDRA & MAHINDRA;19
25;GP1025;4346 902 007;Core Assembly (CHRA);XUV 5OO;MAHINDRA & MAHINDRA;22
