1;Damaged Turbine Wheel;Turbine housing damaged or restricted;22
2;Damaged Turbine Wheel;Coked or sludge center housing;28
3;Damaged Turbine Wheel;Foreign object in exhaust system (from engine like broken piston ring valve sheet , melted piston material) etc;36
4;Damaged Turbine Wheel;oil filter plugged;37
5;Damaged Turbine Wheel;Boost control malfunction-waste gate;39
6;Damaged Turbine Wheel;boost control malfunction - VNT;40
7;Damaged Turbine Wheel;Boost control malfunction- Engine management system;41
8;Damaged Turbine Wheel;Turbocharger flanges, clamp bolts loose;42
9;Damaged Compressor Wheel;Too fast acceleration at initial start (oil Delay);17
10;Damaged Compressor Wheel;To little warm up time;18
11;Damaged Compressor Wheel;Air cleaner Element missing, leaking or loose connections to turbo;21
12;Damaged Compressor Wheel;Foreign object between air cleaner and turbocharger;34
13;Damaged Compressor Wheel;Excessive dirt built-up on compressor housing;35
14;Damaged Compressor Wheel;oil filter plugged;37
15;Damaged Compressor Wheel;Worn journal bearing;38
16;Damaged Compressor Wheel;Boost control malfunction-waste gate;39
17;Damaged Compressor Wheel;boost control malfunction - VNT;40
18;Damaged Compressor Wheel;Boost control malfunction- Engine management system;41
19;Damaged Compressor Wheel;Turbocharger flanges, clamp bolts loose;42
20;Excessive Oil at turbine end side;Excessive Engine pre-oil;15
21;Excessive Oil at turbine end side;Restricted drain line;16
22;Excessive Oil at turbine end side;Plugged Crankcase Breather;20
23;Excessive Oil at turbine end side;Turbocharger seal leakage;23
24;Excessive Oil at turbine end side;Restricted oil feed line;24
25;Excessive Oil at turbine end side;Excessive Engine idle;27
26;Excessive Oil at turbine end side;Coked or sludge center housing;28
27;Excessive Oil at turbine end side;Excessive carbon built-up behind turbine wheel;33
28;Excessive Oil at turbine end side;Foreign object in exhaust system (from engine like broken piston ring valve sheet , melted piston material) etc;36
29;Excessive Oil at turbine end side;oil filter plugged;37
30;Excessive Oil at turbine end side;Worn journal bearing;38
31;Excessive Oil at turbine end side;Turbocharger flanges, clamp bolts loose;42
32;Excessive engine oil consumption;Restricted drain line;16
33;Excessive engine oil consumption;Plugged Crankcase Breather;20
34;Excessive engine oil consumption;Turbocharger seal leakage;23
35;Excessive engine oil consumption;Excessive Engine idle;27
36;Excessive engine oil consumption;Coked or sludge center housing;28
37;Excessive engine oil consumption;Oil bath air cleaner-air inlet screen restricted/ dirty air cleaner;29
38;Excessive engine oil consumption;Oil bath air cleaner-oil pull-over/ oil viscosity low or high;30
39;Excessive engine oil consumption;oil filter plugged;37
40;Excessive engine oil consumption;Worn journal bearing;38
41;Excessive engine oil consumption;Boost control malfunction-waste gate;39
42;Excessive engine oil consumption;boost control malfunction - VNT;40
43;Excessive engine oil consumption;Boost control malfunction- Engine management system;41
44;Excessive engine oil consumption;Turbocharger flanges, clamp bolts loose;42
45;Excessive oil at compressor end side;Plugged Crankcase Breather;20
46;Excessive oil at compressor end side;Turbocharger seal leakage;23
47;Excessive oil at compressor end side;Restricted oil feed line;24
48;Excessive oil at compressor end side;Inlet manifold cracked, gasket loose or missing, connection loose;25
49;Excessive oil at compressor end side;Restricted or damage cross over pipes turbocharger to inlet manifold;26
50;Excessive oil at compressor end side;Excessive Engine idle;27
51;Excessive oil at compressor end side;Dirty air Cleaner Element;31
52;Excessive oil at compressor end side;Collapsed or restricted air pipe before turbocharger;32
