1;<b>No.1 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Air pipe leakage<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check air supply line leakage<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Overspeed burst compresore wheel, small dent on rear of compressore wheel<br/><font color="red">D. Recommended Action</font><br>Replace or repair leakage from air pipe
2;<b>No.2 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Burned Valves<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check engine head condition<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Turbine wheel shaft BENT, turbine blades burned, over speeding, Excessive temperature (over heating)<br/><font color="red">D. Recommended Action</font><br>Replace or repair engine head valves total failure of turbocharger
3;<b>No.3 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Restricted exhaust systems<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check for restricted Catalyst converter<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Gas leakage from VNT bush, potential VNT vane stick<br/><font color="red">D. Recommended Action</font><br>Replace Coked restricted, catalyst converter
4;<b>No.4 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Oil pump malfunction<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check engine oil pressure, condition of oil feed pipe<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage, Discolouration of shaft ( Red or Blue)<br/><font color="red">D. Recommended Action</font><br>Repair engine oil filtration system, clean breather system, check for journal bearing rubbed / wheel damage / change turbo or core assembly
5;<b>No.5 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Fuel pump malfunction or incorrect fuel timing<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check fuel injection system for correct function<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Turbine wheel shaft BENT, turbine blades burned, over speeding, Excessive temperature (over heating)<br/><font color="red">D. Recommended Action</font><br>Repair fuel system, check for journal bearing rubbed / wheel damage / change turbo or core assembly, VNT sticking
6;<b>No.6 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Worn or damaged injectors<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check fuel injection system for correct function<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Turbine wheel shaft BENT, turbine blades burned, over speeding, Excessive temperature (over heating)<br/><font color="red">D. Recommended Action</font><br>Repair fuel system, check for journal bearing rubbed / wheel damage / change turbo or core assembly, VNT sticking
7;<b>No.7 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Valve timing<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check fuel injection system for correct function<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Overheating of turbine housing, turbine blade get burned or damage<br/><font color="red">D. Recommended Action</font><br>Repair engine, road test for performance issues
8;<b>No.8 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Worn Piston Rings<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check engine compression, general condition<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Coked turbine housing, Tight rotation of chra core assembly due to carbon built up, VNT blades get sticking<br/><font color="red">D. Recommended Action</font><br>Repair engine, road test for performance issues, check turbo for damage
9;<b>No.9 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Burned pistons<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check engine compression, general condition<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Coked turbine housing, Tight rotation of chra core assembly due to carbon built up, VNT blades get sticking<br/><font color="red">D. Recommended Action</font><br>Repair engine, road test for performance issues, check turbo for damage
10;<b>No.10 Potential causes</b><br><font color="red">A. Potential causes</font><br/>Oil leakage from feed line<br/><font color="red">B. Vehicle / Engine Diagnostic checks</font><br/>Check Condition of oil feed pipe<br/><font color="red">C. Turbocharger condition and Effects</font><br/>Core assembly journal bearing (bush) get damage<br/><font color="red">D. Recommended Action</font><br>Repair leakage on oil feed pipe, check turbo for damage
